Country/Area  Year  Unit  Agriculture, hunting, forestry, fishing (ISIC A-B)  Mining, Manufacturing, Utilities (ISIC C-E)  Manufacturing (ISIC D)  Construction (ISIC F)  Wholesale, retail trade, restaurants and hotels (ISIC G-H)  Transport, storage and communication (ISIC I)  Other Activities (ISIC J-P)  Total Value Added
Samoa  2022  US$  95737532.62841466  62868885.42546482  48524400.95254314  32698429.501029324  208843990.82885095  52500231.87622333  350182902.1424693  802831972.4024523
San Marino  2022  US$  296615.19864417246  588107465.9384885  588107465.9384885  64916451.35167159  276119032.26145285  130157564.55707656  595397857.9369394  1654994988.295891
Sao Tome and Principe  2022  US$  70618369.28766535  44358704.56424608  31880531.25201377  29131897.34521543  163338814.05264333  60334940.347825095  169009971.50802958  536792697.10562485
Saudi Arabia  2022  US$  26660287013.066666  541145832537.06665  162680616832.53333  49810905024.8  90674243021.6  52629430740.53333  291079006671.73334  1051999705008.8
Senegal  2022  US$  4642087390.371987  5834604945.116866  4043159514.614275  614389581.6725243  4164358830.7797236  1794929683.3884785  8445541054.665082  25495911485.996265
Serbia  2022  US$  4106126051.9265747  12743759413.624256  8588538853.276373  3509970773.453452  8722783049.0508  5461983473.664854  18863431979.58252  53408054741.30246
Seychelles  2022  US$  43789602.58147701  166190299.71722153  99139660.24446395  70763997.77166684  395087310.33111817  148744522.0487611  865002293.5534642  1689718152.7319696
Sierra Leone  2022  US$  2000397818.2578912  202760678.24333355  68492951.78159864  24637857.938522413  211199100.45178086  95166096.79082897  797846840.1607639  3332008391.843121
Singapore  2022  US$  131286266.92456448  100579061895.55101  95696083172.14677  12183510638.297842  94993230174.08101  70125725338.49112  165616175048.3555  443628989361.70105
Sint Maarten (Dutch part)  2022  US$  ...  58497621.22905028  17888922.905027933  45850359.77653631  378639860.33519554  186186988.2681564  829800388.8268156  1498975218.435754
Slovakia  2022  US$  2559069563.056447  25960572856.70937  23441497382.13052  6879837132.05456  13045469925.506884  11552029184.158567  42819573921.92787  102816552583.4137
Slovenia  2022  US$  1101880201.319492  13275575536.557632  11918615897.226072  3601870910.3730783  7436819304.585885  5595379200.327607  21778863905.7244  52790390110.50621
Solomon Islands  2022  US$  534426496.62535894  202519837.92059016  160265320.42986026  79780948.62070389  276143404.7378782  99370456.29376249  404274991.75616014  1596516135.7092214
Somalia  2022  US$  5509388293.927407  289295376.6451852  227239366.1482716  384032170.76012343  973129068.1573251  859005280.7528807  1140119473.7441564  9154969663.987078
South Africa  2022  US$  11470279742.954983  91046098122.92673  49714379454.399796  8963141041.88624  49369849890.880516  27598342894.71805  175502017683.47226  363949729376.83875
South America  2022  US$  264059509514.16327  806607154444.8357  475165090569.79376  161736247456.92407  528560265770.10016  244714924346.0768  1372839585444.1355  3378517686976.3804
South Sudan  2022  US$  129329584.23124883  2742311167.895174  81137030.96822679  103742753.09897594  275595163.470143  395493573.5822865  906794599.3746625  4553266841.652491
South-Eastern Asia  2022  US$  355252782192.4265  1087038643207.2675  763590126732.3425  232527114690.17996  623446672004.1063  337801299646.18097  869937489770.1765  3506004001507.905
Southern Africa  2022  US$  13407673559.328676  101791661087.57545  53762643327.511925  11462069881.79456  54678355969.44224  29455297560.559006  190158284513.85358  400953342572.55347
Southern Asia  2022  US$  769388320745.636  917602507400.063  696984574045.7598  326197663150.0708  484004731146.39703  388182812904.7159  1451843278190.633  4337448364562.0444
Southern Europe  2022  US$  99754915459.10538  715631416132.2386  534865243349.8492  192322194695.44592  660502837858.6063  332441757780.85284  1752230759141.2454  3753036682769.8794
Spain  2022  US$  33108093069.867268  224737100580.9184  161478064576.57333  69688629150.77864  255998552243.33762  103520235482.78957  601844201256.686  1288896811784.3774
Sri Lanka  2022  US$  6665802699.620828  16993927049.0089  14928452240.141813  6066131908.124708  11641964862.112198  9898877877.2166  21207005499.900192  72473709895.98343
State of Palestine  2022  US$  1304219670  2432598827  2132577742  953164946  4250545656  908187076  6419018603  16267734778
Sub-Saharan Africa  2022  US$  362056079915.1269  450115678616.68915  229052198300.7656  132422443787.19818  271552584133.21246  175167665260.65887  510525001136.8559  1902182058357.8525
Sudan  2022  US$  7390581671.070724  6720050293.081504  3235565990.607143  1257908164.524835  6261519872.429816  3229775878.986071  11846950632.032152  36729439159.31351
Suriname  2022  US$  291806022.298669  1283173327.8165433  1049249327.6448655  337918610.4860436  629855839.1091624  176197992.96780616  812089889.5928227  3531041682.271047
Sweden  2022  US$  8660749826.763014  107018104484.02228  79350806893.66644  34597617796.606674  64981676049.31162  68303523517.59916  242807888849.6312  526369560523.93396
Switzerland  2022  US$  5029844397.839412  165021726437.8831  150631127955.95038  38559155873.936005  140910763659.59476  64531326167.67863  382099237872.6112  796152054408.4957
Syrian Arab Republic  2022  US$  6521238686.743273  3978091676.024  672547856.9301819  181978303.1890909  3581582994.0992727  1488575007.1050909  2844328049.724727  18595794716.885456
Tajikistan  2022  US$  2580562637.8208833  1772604211.2849383  963550152.6369824  830731547.0160433  1502444956.633873  973040705.4616164  1866529146.0714393  9525913204.288794
Thailand  2022  US$  43699686139.50678  160854301545.72928  133849209208.78241  12489051257.905878  98816616553.72795  36954081690.3564  142526855623.9615  495340592811.1878
Timor-Leste  2022  US$  327841260  1571718658  41409167  150965066  266389084  34395916  891056330  3242366313
Togo  2022  US$  1516664383.7539403  1465991423.2760067  1074858729.6463816  199064450.13619196  617594305.5735393  1068591170.7879156  2485624320.744261  7353530054.270251
Tonga  2022  US$  87562764.82568203  40715757.35994722  25996159.888445716  33670175.99940112  57890692.58816669  25085302.106085353  161017421.8318685  405942114.2815847
Trinidad and Tobago  2022  US$  323663130.30511576  13360570465.582222  6684398242.279149  1347978721.8423347  6245834176.785833  1528005377.8363178  6605326463.803461  29411378336.303345
Tunisia  2022  US$  4526475430.467844  9053848217.553808  6864895273.553292  1654466177.342441  7065614201.572368  3434666659.6855264  17388076192.80835  43123146879.75254
Turkmenistan  2022  US$  7111717232.857142  23613779756  22255667802.857143  4750050595.428572  3362657393.142857  5137754673.714286  20106107697.714287  64082067349.14286
Turks and Caicos Islands  2022  US$  4498325  55719587  6741774  97437126  352076258  117719555  377059548  1004510399
Tuvalu  2022  US$  5037778.350458186  1209802.3150628817  488248.84016717045  8500330.936087564  8475012.978241673  2430708.4621585584  30238463.415606536  55892095.76397272
Türkiye  2022  US$  58753386571.75287  239583526419.89777  200551620219.60822  44287999949.62318  152296062320.41562  111532240237.4453  205493133392.47168  811946348891.6669
Uganda  2022  US$  12109558248.932503  10028716909.02031  7629082418.706758  2558917012.1997943  5203675980.852564  2371701719.406429  12412697009.577785  44685266879.98911
Ukraine  2022  US$  13196865370.892466  28945744541.56967  12160915597.917744  1941172918.8747656  20910942219.39975  13701436758.601002  62926195704.01879  141622357513.35645
United Arab Emirates  2022  US$  4176886241.252553  223484672752.62085  49316804396.18788  37473078539.68687  68661192302.51872  41429373402.3145  131838765035.26208  507063968273.3833
United Kingdom of Great Britain and Northern Ireland  2022  US$  23607740038.437057  335582921480.9604  259314131716.51776  171431906634.25787  369474531306.96136  284304438528.96387  1575743000487.3618  2760144538478.175
United Republic of Tanzania: Mainland  2022  US$  19293744452.937023  12408799831.054474  5251072589.617864  10353203838.14093  6662007932.475272  6047999592.5311165  13268038188.566067  68033793835.70445
United Republic of Tanzania: Zanzibar  2022  US$  608558126.7216262  248443959.21672475  188795727.06257966  244187474.3620938  501486045.0455653  90254323.45489185  505721366.2515026  2198651295.0524044
United States  2022  US$  270820000000  3616564000000  2649697000000  1090107000000  3978266000000  2846155000000  13942197000000  25744109000000
Uruguay  2022  US$  5043334032.866923  9380505878.486729  7371677671.893507  3388750882.880989  8913771356.530582  5963301269.224157  29960498053.091496  62650161473.08087
Uzbekistan  2022  US$  18864265883.60895  19972977871.706944  15390924652.974497  5024615294.893271  5230851196.131996  5228569678.646355  20614763633.69771  74936043558.68523
Vanuatu  2022  US$  215854929.21711165  46165841.83603057  27182289.051014658  51506267.35257493  204722330.87880933  80218296.7635109  317662940.33073485  916130606.3874412
Venezuela (Bolivarian Republic of)  2022  US$  6109434947.069494  59097234135.02339  19553986125.421677  2556203814.3842177  29206116830.755177  8383503718.414444  17601127793.647163  122953621239.77682
Viet Nam  2022  US$  48553899795.79362  131063969321.69576  101216657151.53088  25340851420.141815  48627818131.37025  33373714824.471478  86981932839.48888  373942186332.9618
Western Africa  2022  US$  178888948824.2609  163117359369.34244  98623783055.907  57153031193.00504  109261302905.09666  83361103034.83313  149378074797.20572  741159820124.8644
Western Asia  2022  US$  128897760760.75417  1579408091730.5537  551744922503.5852  224472997614.95844  463499880454.5126  369357162408.8437  1220563102277.457  3986198697584.176
Western Europe  2022  US$  121284603748.74121  1722111731152.5874  1436982177175.4675  494160894749.2687  1211269279933.958  884083151868.5372  4475945802816.209  8908853361030.979
World  2022  US$  4393358119623.5244  22269468284637.68  16216814084482.4  5539374946428.827  13499162005734.44  9182223696909.018  41597314668430.94  96481645993504.55
Yemen  2022  US$  2123238337.0837321  1715942422.5370786  1089880761.4150681  555487749.5921258  2202493323.7444816  1700385219.6417687  2549737353.0298123  10847284405.6299
Zambia  2022  US$  902332018.790413  6935955030.31549  2332038968.544782  3354141852.550093  5778806445.186997  4161892987.583761  6255280616.72538  27388408951.093094
Zimbabwe  2022  US$  1893932375  9275888379  5429373667  1213667722  4023318695  1576464711  5373914872  23357186754
